ISO3,Country,Region,Income_Level,M_Score,I_Score,N_Score,D_Score,MIND_Score,Binding_Constraint,NY.GNP.PCAP.PP.CD,EG.ELC.ACCS.ZS,SP.DYN.LE00.IN,SH.H2O.SMDW.ZS,SE.TER.ENRR,GB.XPD.RSDV.GD.ZS,IT.NET.USER.ZS,SE.XPD.TOTL.GD.ZS,NE.TRD.GNFS.ZS,IT.CEL.SETS.P2,BX.KLT.DINV.WD.GD.ZS,ST.INT.ARVL,SG.GEN.PARL.ZS,SL.TLF.CACT.FE.ZS,EG.FEC.RNEW.ZS,TX.VAL.TECH.MF.ZS
ABW,Aruba,Latin America & Caribbean,High income,68.86,44.59,29.61,9.22,30.26,D,47960,100,76.5,,14.0655418559377,,97.17,3.61855755636695,160.365278789947,130.647974615427,2.42051208397071,1951000,,,8.8,6.86800836378335
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,35.24,11.83,16.55,23.34,20.03,I,2210,85.3,66.289,30.5547223111169,10.85435962677,,16.09499931,,67.5846651516385,60.0990815591219,0.144466946606861,,27.0161290322581,5.086,20,
AGO,Angola,Sub-Saharan Africa,Lower middle income,25.63,21.67,12.27,58.95,25.18,N,9460,51.1,64.805,,9.9549065722902,,40.70479965,2.51273663315785,50.8422305562091,69.7039467163584,-1.0986881170909,218000,39.0909090909091,72.224,52.9,16.6897206933082
ALB,Albania,Europe & Central Asia,Upper middle income,67.36,45.02,18.97,44.79,40.06,N,26500,100,79.776,70.7937363898968,84.1496200561523,0.19997,85.86389923,3.09153008460998,79.4546360752224,89.1328603947682,6.32349466068578,2658000,35,58.567,41.9,1.52935344981595
AND,Andorra,Europe & Central Asia,High income,86.92,41.15,31.83,45.93,47.82,N,76090,100,84.188,90.6400018060858,67.6767676767677,0.15818,94.39759827,1.89867997169495,,155.692108667529,6.64266743694098,5207000,50,,18.7,21.4346319155008
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,89.17,51.28,44.84,41.13,53.89,D,81530,100,83.069,98.6413172332089,63.7384451086316,1.49469,100,3.89404010772705,199.044979237546,203.206410299544,8.26261712974626,8084000,50,53.027,1,8.96029397394575
ARG,Argentina,Latin America & Caribbean,Upper middle income,65.10,56.44,22.40,37.57,41.93,N,29800,100,77.543,,107.822574129434,0.60111,89.66715228,5.00324010848999,27.929760849367,140.234979049333,1.82409522925391,7399000,41.2451361867704,52.469,9.2,3.85019697474113
ARM,Armenia,Europe & Central Asia,Upper middle income,68.13,36.36,28.62,42.22,41.59,N,22020,100,78.319512195122,82.0728191880242,52.7748065090859,0.2861,81.33930206,2.43869996070862,150.064726588742,134.88694751567,0.506878336560983,375000,38.3177570093458,51.057,9.1,23.6403270515259
ASM,American Samoa,East Asia & Pacific,High income,72.59,7.47,16.07,0.00,0.00,D,,,72.992,90.5383360522023,19.6201190948486,,0,,124.684270952928,,,899.999976158142,,,0.4,
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,65.90,38.17,36.73,3.65,24.10,D,31730,100,77.766,,25.1156271899089,,72.73040009,3.10505161832136,117.703527768353,200.540715208962,11.1314252318887,384500,5.55555555555556,,0.9,0
AUS,Australia,East Asia & Pacific,High income,82.72,63.54,18.83,50.73,47.34,N,69600,100,83.0512195121951,,108.421989440918,1.85783,96.13140106,5.05915021896362,47.1453811065195,112.581025002429,3.03883928325354,1828000,46,62.513,12.3,25.1586416457084
AUT,Austria,Europe & Central Asia,High income,86.74,65.44,28.67,47.82,52.82,N,74160,100,81.9951219512195,98.8915357232143,92.6126708984375,3.25517,91.92573373,5.27749013900757,108.825777834405,124.45929984531,2.55351579610657,15091000,35.5191256830601,55.059,36,18.4525766859019
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,58.73,38.44,20.32,28.65,33.86,N,24220,100,74.576,57.8118283196096,41.3413783372226,0.20778,90.80000181,3.66036009788513,82.6898691594703,109.543149535867,0.311206693209432,796000,20.8,60.759,1.3,2.91095088102775
BDI,Burundi,Sub-Saharan Africa,Low income,7.39,15.27,12.41,64.64,17.35,M,1200,11.6,63.818,,6.38454008102417,,8.595999718,4.5040397644043,,63.1631365759764,1.08105925624791,299000,39.6396396396396,79.498,83,1.30508367041098
BEL,Belgium,Europe & Central Asia,High income,87.32,66.27,24.65,42.81,49.71,N,74770,100,82.3,99.5471345182049,82.1475601196289,3.27235,95.77579144,6.27611017227173,158.931826338067,103.90465332676,-6.1601989579997,2584000,41.3333333333333,49.78,11.7,20.3921453422236
BEN,Benin,Sub-Saharan Africa,Lower middle income,19.42,21.42,19.59,59.25,26.36,M,4390,57,60.961,17.6968322374867,10.2350101470947,,33.98379898,3.22974322056608,40.6398022401523,125.940873932186,2.5276563137227,337000,26.605504587156,75.164,54.5,30.5389584270212
BFA,Burkina Faso,Sub-Saharan Africa,Low income,8.41,19.12,19.38,47.08,19.57,M,2720,21.7,61.292,,10.0419678526515,0.10477,28.25270081,5.32757840997187,60.5024222912348,116.5895933212,0.358681465803854,67000,18.3098591549296,64.074,71.4,1.64548901950889
BGD,Bangladesh,South Asia,Lower middle income,56.32,28.50,15.80,35.94,30.90,N,10060,99.5,74.93,59.1254259857148,23.7295608009814,,53.42171316,2.0343847791384,26.7780758040478,108.077037369691,0.283870773350074,323000,20.8571428571429,38.649,25,
BGR,Bulgaria,Europe & Central Asia,High income,73.29,46.39,25.18,35.75,41.83,N,39850,100,75.7609756097561,96.2070781494387,69.5460433959961,0.79224,82.438955,4.50109004974365,110.22631455921,118.067152838789,3.1312025090285,4973000,25,50.376,20.4,13.4299683659831
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,83.76,40.71,33.80,21.14,39.51,D,62230,100,81.423,98.9039755631804,58.3677241853667,0.19327,100,1.88778167912993,157.818492147586,159.536143577452,5.73694505846498,1909000,20,42.294,0,0.387343644517371
BHS,"Bahamas, The",Latin America & Caribbean,High income,64.38,40.91,18.85,29.80,34.88,N,39550,100,74.71,,14.8425798416138,,92.47270203,2.74191570247934,79.2424586933455,96.6798992232414,1.51932088638775,1794500,18.4210526315789,70.728,1.1,0
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,69.65,37.33,23.16,31.46,37.10,N,24990,100,78.044,86.400107879006,45.5027618408203,0.21437,86.10091103,3.24564826597779,95.1562957108171,121.232373011893,3.39024835333872,197000,19.047619047619,39.241,36.6,6.16317357059664
BLR,Belarus,Europe & Central Asia,Upper middle income,69.62,49.69,27.99,36.12,43.25,N,32300,100,74.3653414634147,93.0597552933534,70.1107509145358,0.5872,94.26182128,5.04593992233276,131.91792910245,131.123016605614,2.28598440253164,3598000,33.9449541284404,56.769,8.2,6.01576846359853
BLZ,Belize,Latin America & Caribbean,Upper middle income,55.94,44.55,17.27,27.30,32.92,N,13760,99.6,73.739,,24.8098643151325,,80.00582262,4.62276317232973,108.972446521476,67.1750266305468,4.00992513639046,487000,12.5,46.472,30.8,0.000191087699111545
BMU,Bermuda,North America,High income,96.51,31.78,18.02,9.81,27.14,D,129110,100,82.49,,17.3357105255127,0.22546,98.37,1.86510440752276,75.2902443250736,96.6767745528807,1.27620852105354,51400.0015258789,,,0.9,14.3007432825453
BOL,Bolivia,Latin America & Caribbean,Lower middle income,49.69,46.00,16.05,51.02,36.99,N,12620,99.8,68.739,,,0.06308,79.70469666,7.53980016708374,46.9778716148403,98.0287940811943,0.652112801170427,323299.987792969,50.7692307692308,72.868,12.8,8.79395083358911
BRA,Brazil,Latin America & Caribbean,Upper middle income,67.66,50.84,17.90,39.92,39.60,N,21590,99.8,76.023,88.6239660721414,69.7317733764648,1.1938,84.46347227,5.61920976638794,35.5845239385389,101.926846460424,3.38960802616211,6353000,18.1286549707602,53.411,46.5,11.1103644206652
BRB,Barbados,Latin America & Caribbean,High income,62.00,45.78,22.40,38.05,39.44,N,23850,100,76.332,,50.801079116886,,70.36470032,3.55593188106322,,114.580721030894,4.04185101459713,966000,26.6666666666667,61.03,5.5,19.9263557583818
BRN,Brunei Darussalam,East Asia & Pacific,High income,80.05,62.68,25.24,21.44,40.59,D,92750,100,75.501,,36.4182725443167,,96.29828801,,132.587439642245,118.130579766209,0.189449066349964,1071000,11.4285714285714,54.436,0,1.06433459453488
BTN,Bhutan,South Asia,Lower middle income,57.78,36.51,18.74,40.84,35.65,N,15320,100,73.262,65.5942159692749,13.011259392916,0.09979,91.27739716,5.84518003463745,81.7366278688545,99.7576826476519,0.338339566584512,29799.9992370605,4.25531914893617,56.7,82.5,0.0107261524845822
BWA,Botswana,Sub-Saharan Africa,Upper middle income,47.85,36.95,27.29,30.55,34.84,N,20570,76,69.293,63.2910412393649,21.4087908549348,,57.45950036,,71.1052579052124,163.999922257361,2.40833479893043,1830000,8.95522388059701,63.708,27.4,0.539469030954736
CAF,Central African Republic,Sub-Saharan Africa,Low income,1.59,8.87,8.28,51.86,8.82,M,1340,17.6,57.671,6.21748768966731,2.77519989013672,,13.78250027,1.82995911310419,46.4318999802251,38.8217901039988,1.46851186564355,87000,11.4285714285714,65.464,90.9,8.29978042191414
CAN,Canada,North America,High income,84.13,55.63,26.34,43.32,48.07,N,63630,100,82.1080487804878,96.890322656349,76.2666931152344,1.7908,94.353302,4.84426021575928,65.1499212653783,94.1059718794246,2.81029565355294,32430000,30.3206997084548,60.204,23.8,16.7779029827711
CHE,Switzerland,Europe & Central Asia,High income,91.85,61.82,27.80,53.10,53.81,N,91110,100,84.4073170731707,96.6999968881937,73.5430526733398,3.22178,97.32103855,4.86427021026611,134.09514852061,129.471369643132,-11.5737467714118,11818000,39,62.223,27.7,29.6239015157944
CHI,Channel Islands,Europe & Central Asia,High income,92.44,0.00,0.00,0.00,0.00,I,,100,81.2,,,,,,,,,,,49.249,,
CHL,Chile,Latin America & Caribbean,High income,77.62,57.36,23.88,39.75,45.34,N,34320,100,81.359,97.8170551998161,110.176902770996,0.39205,95.590243,4.91201019287109,63.859857248066,132.660408764665,3.79129110936144,5431000,33.5483870967742,52.887,24.2,8.31650307450688
CHN,China,East Asia & Pacific,Upper middle income,64.87,56.46,28.16,42.06,45.64,N,26920,100,78.017,,76.8757843123403,2.57729,91.6,3.89714002609253,37.1984201388065,131.753932036803,0.0989988051182737,30402000,26.5367819952973,59.148,15.2,26.2777380479223
CIV,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,30.45,25.51,28.30,40.99,30.81,I,7360,72.4,62.11,36.4489381559953,12.3354902267456,,41.43219902,3.61279988288879,51.2640379409119,183.875985110648,3.58346670744132,668000,13.3858267716535,59.454,58.2,5.25759412069948
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,31.45,26.28,16.83,53.89,29.42,N,5490,72,63.968,,16.6614294830602,,46.25880051,2.83907623667935,34.4031785915423,108.213130152497,1.66655391243674,1021000,33.8888888888889,56.595,79.2,2.10363029161033
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,8.41,14.55,15.47,49.18,17.47,M,1760,22.1,62.074,11.8726481819387,6.37987995147705,,19.67350006,2.84466514463005,100.554088317275,58.532153345468,4.10789956662809,351000,12.8,61.848,96.3,0.199611665225369
